sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
17517,13,11,281,639,944,3,3,0
17518,14,13,260,610,897,3,3,0
17519,9,9,299,561,878,3,3,0
17520,13,13,259,543,828,3,3,0
17521,9,9,244,603,865,3,3,0
17522,14,17,303,658,992,3,3,0
17523,17,10,292,576,895,3,3,0
17524,13,13,307,644,977,3,3,0
17525,13,10,303,660,986,3,3,0
17526,13,15,257,543,828,3,3,0
17527,13,16,255,587,871,3,3,0
17528,14,9,266,590,879,3,3,0
17529,9,9,298,564,880,3,3,0
17530,9,10,328,468,815,3,3,0
17531,14,10,264,530,818,3,3,0
17532,13,9,263,567,852,3,3,0
17533,13,10,298,578,899,3,3,0
17534,13,10,290,541,854,3,3,0
17535,13,9,264,564,850,3,3,0
17536,13,9,315,531,868,3,3,0
17537,13,9,263,540,825,3,3,0
17538,13,9,263,528,813,3,3,0
17539,14,10,298,551,873,3,3,0
17540,13,10,297,574,894,3,3,0
17541,13,10,299,619,941,3,3,0
17542,13,10,298,574,895,3,3,0
17543,14,10,300,579,903,3,3,0
17544,14,10,301,625,950,3,3,0
17545,13,10,302,627,952,3,3,0
17546,13,10,297,626,946,3,3,0
17547,13,11,239,587,850,3,3,0
17548,13,10,345,453,821,3,3,0
17549,9,9,232,591,841,3,3,0
17550,9,9,240,612,870,3,3,0
17551,13,9,265,583,870,3,3,0
17552,14,11,305,662,992,3,3,0
17553,9,9,331,508,857,3,3,0
17554,9,9,215,573,806,3,3,0
17555,13,9,265,519,806,3,3,0
